,responce,question
169271,"@163669 Flight 3513 hasn't departed yet, did this happen on another day?",Hey @AmericanAir flight 3513 ORD-ABQ no trash can. No water or beverage service on a 3.5 hour flight? You can do better
169273,"@163670 We're more than happy to help! If you'd like to DM your question, we'll be happy to check into it.",@AmericanAir please train your people! 3 different people have told me 3 different things! Unhappy exec platinum customer
169276,"@163671 Absolutely, we can do it!","Let's have a good flight outta DC, @AmericanAir https://t.co/BhZsr0m8eB"
169278,@163672 Please DM your record locator with a follow for a look!,@AmericanAir 1/3 So disappointed! Called weeks ago to request an upgrade with points &amp; $ for my flight tomorrow. I call today to see if it
169280,"@163673 Welcome aboard again today, Lonnell. It never hurts to freshen up on the emergency exit locations!",No matter how many times I fly I always review the Safety Information Card. Thankfully my @29211 help w/small print. @AmericanAir https://t.co/Y6rr7Ndmoa
169282,"@163674 Wow. We must agree, absolutely #beAAutiful!",ICYM: Stunning pict  of the @AmericanAir #Dreamliner ....https://t.co/ezzXH3jGNV
169284,@163675 Look at all those beautiful birds out the window!,It's CLEARly a great day to visit @122128 ✈ @AmericanAir https://t.co/Fkz0ipV41w
169286,@163676 Funny how our Spidey senses tingle at initial descent! #almostthere,"""Folks, I'm sure your Spidey senses can tell you we're on initial descent into Charlotte..."" @AmericanAir pilot 😃👌"
172668,@164663 We can assure you these matters are taken very seriously. We appreciate you letting us know what happened.,@AmericanAir Yes I received ur DM and hope something is seriously addressed with this incident.
172670,@164663 Thank you for the information. We've responded to your DMs.,@AmericanAir I have sent u the details via DM
172672,@164663 Your comments concern us. Please meet us in DM with your record locator and more information.,@AmericanAir Is customer experience important to u?  On flt to MIA req headphones and attendant actually threw them at me!!  WHOA
172674,@164664 Most of our flights have entertainment or streaming on board. We're sorry it wasn't offered on yours.,"Every @AmericanAir plane I’ve been on in the last year had a tv and the one time I don’t bring a book or magazine, there is no tv. 🙄🙄"
172678,@164666 Our flying moms are very special passengers and glad to hear things worked out for her.,"@AmericanAir Thanks, AA, for calling to make sure my mom gets home to England for the first time in 25 years."
172680,@164667 We wanted you to have a nice and comfy ride and sorry to hear your experience was otherwise.,@AmericanAir The attendants attitude was the issue. There are many that have conditions that require a bathroom. I didn't pay $ to be held prisoner.
172684,@164668 We hope you get to cross another plane off your #bucketlist!,@AmericanAir YESSS THATS AWESOME!! Haven't flown on the 738 yet
172687,@164668 We can't wait to see you on board. We're showing some of our flights that are operating in November are 738 and AB319.,@AmericanAir Are you still flying the mad dogs on the RIC-DFW route. If not what are you replace the route with?
172689,@164669 Please DM your record locators and we'll check for more options.,@AmericanAir My fiancé is flying as well and is an American Airlines Credit Card Member and we both were just were ignored for our issues of having to miss work tomorrow!
172691,@164669 We do all possible to avoid cancellations. Please continue to work with our team at the airport for available options.,"@AmericanAir Cannot believe the service I just had at the Charlotte,NC airport!! Flight got cancelled to Greenville, NC and no compensation"
172693,@164670 We appreciate your patience and are glad to see you're on your way. Our Captain is making up some great time for you.,@AmericanAir yet again. What I said last month. Your Dallas hub sucks. Here we are again with another delayed flight.
172695,"@158115 We do have a few birds that like to make their nest at DFW when not flying you awAAy to amazing places, Loren!","ICYMI @151271 just might be a major hub for @AmericanAir.

Where do you want to go? https://t.co/DziLDbm1rx"
172697,"@164671 We're sorry to hear that happened. Please DM her record locator, share if she let a crew member know and provide the seat number.",@AmericanAir mother came from Argentina in a BROKEN business seat (2 pieces) Can you explain why aren’t you offering any real compensation? https://t.co/Z28jqzP2wG
172705,@164675 You captured a beautiful sunset with our tower in the foreground. We sincerely appreciate your #loyAAlty!,"Oh #Chicago, you look fabulous tonight! @AmericanAir @129841 https://t.co/pMSDshVfIN"
172707,"@164676 Hmm, you tease us with that #chickenparm! We may have the perfect side to go with that scrumptious sandwich. Meet us in DMs.",have never been prouder... eating a #chickenparm from @31658 @americanair @116147 #priceless... ⚡️🚀🍃#realfood #realfresh https://t.co/zgqeYcqKys
172709,"@164677 The restrictions are only on our new Basic Economy fares. If more flexibility is needed, we still offer our usual fares.","@AmericanAir are you joking? In addition to your ever-declining customer service and horrible inflight experiences, you now are restricting access to overhead bins?! I paid 500 fucking dollars for what will surely be an awful 1 hour flight and now you are charging for carry ons? https://t.co/hgpHY68uYc"
172711,@164677 It should have been made very clear if booked through us on our website. It's usually less than our advance purchased fares.,"@AmericanAir Translation: We are making up additional fare classes in order to make more $. What is the difference between basic economy &amp; ""usual"" fare other than a bag that used to be included? ""basic economy"" was certainly not cheap - it wasn't even marketed as such when I booked."
172713,@164677 Your trip with us should always be great. We're so sorry for any issues you've experienced.,"@AmericanAir Just had a really pleasant exchange checking the bag that I was forced to check. After making us, print, tag and carry our own bags, we also get the pleasure of being snapped at by the rude AA bag workers for the fact that the checkin agents aren't doing their jobs!"
172717,"@164678 An operational decision could have many reasons behind it. For example, the plane had a mechanical in another city or crew.",@AmericanAir Not answering the question
172720,@164678 We do everything possible to keep from canceling a flight but we're always here to help if you need it.,@AmericanAir @164679 That's a new one. What circumstances make it operational? What compensation can we expect. I fly clt to ROA alot. Not happy about route.
172722,"@164679 Your connection was cancelled as an operational decision and our apologies that you're not home yet, Eric.",@AmericanAir wish I was home already. Las to clt then clt to roa suddenly cancelled with no explanation.
172724,@164680 Please DM us your record locator and the details. We'll make sure this gets reviewed right away.,Hi @AmericanAir who do I speak to if I have a grievous problem w how one of your attendants handled my ESA check in? #AmericanAirlines #help
172727,@164681 We do all possible to avoid delays. Our apologies that your travel has been affected.,@AmericanAir three hour delay? You guys r trashhhhhhh 🚮🚮🚮.  Literally garbage
172730,@164681 Our team is doing everything possible to get your flight in the air. We appreciate your patience.,@AmericanAir If it gets cancelled you've lost me and hopefully everyone thats sitting here screwed over by you guys.
172733,"@130071 Welcome aboard, Andrew! It's a beautiful evening for flying.","mci -&gt; phx

on @AmericanAir"
172741,@164679 The connecting flight canceled while you were inflight and we rebooked you on the first available.,@AmericanAir Operational decision? It would have been good to know before landing and suddenly not having a flight.
